x,y,z
269.67886752615254,343.3824711860089,a
290.0321317292836,279.0808073608657,a
261.10564938467235,302.74344942028944,a
308.65163925214074,300.98805263889244,a
237.1413003398808,301.1606561920479,a
330.84785387640835,246.90989556019167,a
264.71093442968925,331.5413194175047,a
318.15801017066343,305.886248850813,a
308.1672433069575,258.23409149135654,a
289.7464028708737,299.2137720124575,a
264.4299076190627,251.5617248976507,a
269.1459364107186,317.30149566445147,a
259.24185717090745,251.85378778539945,a
219.93264735090986,237.03590057280223,a
263.2496562380246,260.3865301469755,a
255.2888884597455,300.7636001547134,a
223.29230079502574,306.9208285202532,a
219.13432813749554,265.2326205927162,a
279.72947282092986,240.6908694134438,a
284.638989072536,248.94983795720668,a
236.77262919977477,215.6272592957955,a
293.48492891419664,244.26636444844164,a
253.56961868477995,250.99041084684876,a
184.654754853894,259.74562917352966,a
255.86986687365993,252.14998232802702,a
262.0882376926697,240.91020165312568,a
231.3803305229279,222.7400098089659,a
266.9770123720575,240.6666140175111,a
258.7706608110487,270.6628674547975,a
238.83736240594482,207.0889984603579,a
263.80816333967357,241.5654266020574,a
159.0769738027539,225.1530656097907,a
264.8446728942027,220.78419801110408,a
245.80216332227198,208.8621379407018,a
255.93325258844783,204.2419629464663,a
244.89826688484206,229.31319377406243,a
190.32047078757387,223.11053178812233,a
213.47455449534402,239.17253355489856,a
212.9950730391047,243.5787509850611,a
229.55516125006687,216.52233277125225,a
254.7828095111963,197.3916207223116,a
209.189731184261,229.8207773318751,a
270.9888695117274,226.23585374261523,a
270.18249606389537,232.93539717170393,a
254.58246286437975,246.7748532112232,a
256.7596746108461,219.20604292023796,a
229.5351126808382,246.46725559189187,a
215.30625813806125,236.61949242618203,a
223.80707872268488,215.87675777307686,a
244.12157059344224,239.7439334704688,a
231.5272522987984,218.0867287095012,a
211.1428222437325,192.53695845185388,a
213.67267718212057,221.86470149821383,a
239.76350791905156,210.21494109151695,a
224.23960656955242,269.8436613187258,a
267.68337757502036,233.27658619232182,a
282.3913142323935,275.1217331221507,a
253.95094682819686,253.74551060752975,a
263.99923734497327,243.82111932767032,a
286.6269250189891,216.38300731002096,a
249.14189270529488,295.4189681235159,a
245.4126567907532,240.29291871780896,a
256.68990725392604,222.52101119476242,a
226.58999711567708,274.6091876105948,a
174.89296117425715,281.4029013060216,a
254.0411815135798,315.37024795031266,a
236.2850783533223,249.2369750728454,a
266.1963908826722,237.27424530529998,a
247.99425767324837,296.44004954716524,a
203.50208173276394,254.93491321799866,a
248.63353302951805,269.09426880228676,a
207.80290888737235,299.647012263339,a
240.83151358975857,262.89095616575105,a
206.15727433376605,295.9901418950149,a
241.03904084250652,257.8523780345046,a
243.57554011369893,232.70315186522038,a
233.44671141996236,285.5043681693759,a
226.6416731639213,230.3106651657975,a
227.30381199720506,289.0046747102482,a
253.48310915805132,249.58393069097255,a
205.62078232168054,246.00871190761393,a
187.2253086180853,266.16840929499006,a
247.20073122984752,287.22146769571714,a
217.22727387026362,293.2683621355506,a
191.11947155488187,258.02425699335873,a
178.27133096340145,301.99600725798973,a
188.38065297023743,217.26066017103034,a
203.48716933058083,250.7745054260999,a
225.08208453482146,243.81043958767975,a
217.4195475224783,265.4534046145815,a
208.65948511826568,322.37828931741706,a
226.37269011478767,231.9397421544553,a
197.27369230048376,230.44455581933204,a
225.93506668965122,223.81928559904412,a
210.17462546536788,264.4282763879314,a
238.57105400790934,219.13275528799954,a
200.9808822110119,273.800416513271,a
229.2138383023938,286.42678186588137,a
251.37194564510958,284.088769065844,a
216.39800750397347,263.3165779650535,a
224.20092662247617,248.65466279607998,a
293.8406457012896,255.78317550382084,a
303.7934534449621,268.11642333960293,a
269.7875253296936,286.27026989887787,a
284.40908599049556,254.47536408434192,a
331.0193839447159,240.01398321881936,a
254.15073844911572,304.5928700818147,a
244.548806874724,269.62485394320663,a
265.77007157381075,259.45589958516996,a
249.89081033136978,299.4399338285703,a
286.99655647744555,296.7152275547795,a
263.3358306040535,290.43136232389725,a
233.0497161836684,256.9438833951783,a
320.85603650007647,341.77782853997064,a
260.87566120444114,298.5706395037621,a
257.071720164026,294.6769488977433,a
292.85458613989715,338.3154223680722,a
653.6298965689288,414.045291153384,a
668.8618695576267,433.38334615517925,a
649.7866590643233,399.1316325472816,a
652.4542329563952,380.44768570141105,a
659.602272479378,422.48934456743257,a
610.3977592924971,377.6369895411556,a
681.2782817087059,317.26150891180777,a
673.4977865928804,407.0456547997783,a
647.5235974703213,388.6884465311765,a
619.6140106807368,379.1365390495503,a
633.9545808527623,362.4245377059235,a
663.876367674691,386.3914556300613,a
658.470276548508,383.730593375425,a
645.5245530858715,360.0938650494818,a
644.8426738662293,413.3290537276488,a
640.7322380173305,418.7557536171705,a
621.8022913141382,324.83684858662394,a
